City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Semey,KZ,70.02,broken clouds,50.4111,80.2275,Grand Hotel Semey
420,Dindori,IN,83.46,overcast clouds,22.95,81.0833,Konark Marriage Garden
421,Grandville,US,75.83,broken clouds,42.9098,-85.7631,"Holiday Inn Express Grand Rapids SW, an IHG Hotel"
428,Conakry,GN,80.67,broken clouds,9.538,-13.6773,Riviera Royal Hotel
429,Bacalar,MX,84.0,clear sky,18.6667,-88.3833,Hotel Laguna Bacalar
430,Kharian,PK,70.95,overcast clouds,32.8149,73.8636,College Hostel
432,Iquitos,PE,75.24,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
433,Lodja,CD,71.33,overcast clouds,-3.4833,23.4333,
434,Pangai,TO,77.11,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
435,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
436,Williams Lake,CA,74.77,broken clouds,52.1415,-122.1445,Stampeder Motel
437,Nyurba,RU,81.39,broken clouds,63.2842,118.3319,Gostinitsa Alrosa
439,Borogontsy,RU,78.13,scattered clouds,62.6683,131.1683,
441,Sao Geraldo Do Araguaia,BR,74.62,scattered clouds,-6.4006,-48.555,SOLAR DO BARROSO
442,Balaipungut,ID,82.81,overcast clouds,1.05,101.2833,
447,Sooke,CA,75.18,few clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
449,Rongcheng,CN,76.73,scattered clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
455,Gogrial,SS,76.51,light rain,8.5332,28.1004,
456,Sijunjung,ID,79.75,heavy intensity rain,-0.6876,100.9537,Hotel Bukik Gadang
457,Dzilam Gonzalez,MX,80.31,overcast clouds,21.2833,-88.9333,posadas
458,Sao Jose Da Coroa Grande,BR,75.74,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
467,Kloulklubed,PW,84.7,few clouds,7.0419,134.2556,Storyboard Beach Resort
468,Kushima,JP,77.04,light rain,31.4583,131.2333,Hanaoka
469,Iberia,US,75.97,clear sky,29.9502,-91.7507,back to back rv park
472,Yabassi,CM,78.44,broken clouds,4.457,9.9682,MOTEL FOMI
475,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
477,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
480,Birao,CF,79.86,overcast clouds,10.2849,22.7882,
481,Thinadhoo,MV,83.73,overcast clouds,0.5333,72.9333,
482,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
484,Gamba,GA,75.18,clear sky,-2.65,10.0,
486,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
487,Beberibe,BR,80.64,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
488,Grand Island,US,82.35,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
489,Lagunillas,VE,81.52,overcast clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
496,Marang,MY,84.11,overcast clouds,5.2056,103.2059,DBarakah Homestay
500,Sinnamary,GF,77.34,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
505,Bandarbeyla,SO,78.98,overcast clouds,9.4942,50.8122,JABIR HOTEL
508,Contamana,PE,72.86,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
516,Wajir,KE,73.89,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
517,Benguela,AO,72.1,broken clouds,-12.5763,13.4055,Hotel Praia Morena
522,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
524,Tecoanapa,MX,84.04,few clouds,16.5167,-98.75,Hotel Manglares
525,Ulaangom,MN,73.09,few clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
526,Trairi,BR,77.67,clear sky,-3.2778,-39.2689,janelas do mar
527,Pattani,TH,81.82,few clouds,6.75,100.4167,Tobias Kleeberg
533,Athabasca,CA,77.83,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
534,Burnham,US,84.38,clear sky,41.6389,-87.5567,Baymont by Wyndham Chicago/Calumet City
535,Nuevo Progreso,MX,80.6,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
536,Sri Aman,MY,84.25,few clouds,1.2376,111.4621,Seri Simanggang Hotel
537,Kefamenanu,ID,82.13,broken clouds,-9.4467,124.4781,Sokowindo Losmen
538,Coxim,BR,74.44,clear sky,-18.5067,-54.76,Hotel Avenida
539,Caravelas,BR,72.88,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
542,Morro Bay,US,83.28,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
544,Marzuq,YE,74.05,overcast clouds,14.4,46.4667,
546,Piripiri,BR,73.17,clear sky,-4.2733,-41.7769,Califórnia Hotel
549,Fomboni,KM,78.91,clear sky,-12.28,43.7425,Pension Paradis
550,Mogadishu,SO,78.8,scattered clouds,2.0371,45.3438,Hotel Juba
551,Axim,GH,79.34,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
555,El Tigre,VE,78.71,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
557,Bundaberg,AU,71.22,overcast clouds,-24.85,152.35,Takalvan Motel
561,Kantang,TH,82.49,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
564,Kavaratti,IN,84.13,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
565,Belawan,ID,80.89,light rain,3.7755,98.6832,Lilik Hidayat Pulungan
568,Namatanai,PG,84.72,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
571,Rock Hill,US,75.74,moderate rain,34.9249,-81.0251,DDCSVC
572,Colombo,LK,80.55,light rain,6.9319,79.8478,Galle Face Hotel
573,San Patricio,US,72.84,moderate rain,28.017,-97.5169,"Motel 6 Sinton, TX"
578,Dumas,US,80.02,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
583,Sarangani,PH,83.44,broken clouds,5.4033,125.4636,Ballistic Islet
586,Maple Valley,US,78.49,clear sky,47.3927,-122.0464,Linda's By The Lake Bed & Breakfast
587,Umm Lajj,SA,80.53,clear sky,25.0213,37.2685,Moon light Furnished Units
588,Mayo,US,73.51,broken clouds,38.8876,-76.5119,Resorts Resource Group International
590,Homestead,US,81.01,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
591,Chabahar,IR,83.97,few clouds,25.2919,60.643,هتل گدروشیا
594,Osmena,PH,84.87,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
595,Coruripe,BR,74.46,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
596,Kings Mountain,US,76.12,clear sky,35.2451,-81.3412,"Holiday Inn Express & Suites Kings Mountain - Shelby Area, an IHG Hotel"
598,Saint-Pierre,RE,70.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
599,Awjilah,LY,80.24,few clouds,29.1081,21.2869,
601,Gabu,GW,79.43,broken clouds,12.2833,-14.2167,Hotel karsa
602,San Jose De Sisa,PE,77.52,overcast clouds,-6.6167,-76.6915,Killu Sisa Hospedaje
603,Santa Isabel Do Rio Negro,BR,73.31,broken clouds,-0.4139,-65.0192,Hotel GSA
607,Brigantine,US,72.01,few clouds,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
611,Kulhudhuffushi,MV,82.53,overcast clouds,6.6221,73.07,Haajy Guest House 1
614,Lagunas,PE,73.65,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
615,Aksu,CN,79.65,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
618,The Valley,AI,81.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
621,Kyren,RU,71.92,clear sky,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
