City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Nouadhibou,MR,20.931,-17.0347,67.98,77,11,20.71,few clouds
228,Port Blair,IN,11.6667,92.75,85.19,70,32,4.36,scattered clouds
229,Chake Chake,TZ,-5.2459,39.7666,74.34,84,6,8.25,clear sky
230,Leh,IN,34.1667,77.5833,46.99,74,100,2.24,overcast clouds
231,Ust-Nera,RU,64.5667,143.2,62.67,28,22,4.34,few clouds
232,Moba,CN,33.2288,105.0179,63.12,52,100,4.38,overcast clouds
233,Abrau-Dyurso,RU,44.69,37.59,56.66,94,100,14.92,light rain
234,Morrisburg,CA,44.9001,-75.1826,65.08,98,100,5.97,overcast clouds
235,Yumen,CN,40.2833,97.2,81.23,7,0,14.83,clear sky
236,Ola,RU,59.5833,151.2833,41.86,87,100,5.77,overcast clouds
237,Fortuna,US,40.5982,-124.1573,62.92,68,90,1.99,overcast clouds
238,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,82,20,7.05,few clouds
239,Samana,DO,19.2056,-69.3369,77.09,83,90,10.0,overcast clouds
240,Galesong,ID,-5.3166,119.3661,84.22,68,71,2.35,broken clouds
241,Shenjiamen,CN,29.9576,122.298,65.46,88,100,5.66,moderate rain
242,Alta Floresta,BR,-9.8756,-56.0861,70.84,66,15,1.92,few clouds
243,Champerico,GT,14.3,-91.9167,85.35,69,9,1.25,clear sky
244,Prince Rupert,CA,54.3161,-130.3201,51.49,84,90,10.36,light rain
245,Westport,US,41.1415,-73.3579,70.11,94,75,1.01,light rain
246,Erdaojiang,CN,41.7764,126.0319,63.3,60,79,11.61,broken clouds
247,East London,ZA,-33.0153,27.9116,55.26,75,65,6.73,broken clouds
248,Vysokogornyy,RU,50.1167,139.15,52.3,92,100,7.07,moderate rain
249,Muroto,JP,33.2833,134.15,73.44,93,100,31.9,overcast clouds
250,Ocean City,US,39.2776,-74.5746,71.62,86,100,1.99,overcast clouds
251,Aras,ES,42.5617,-2.356,56.71,89,90,4.0,mist
252,Eskilstuna,SE,59.3666,16.5077,49.73,88,0,1.5,clear sky
253,Kaura Namoda,NG,12.5898,6.5779,84.87,41,53,8.81,broken clouds
254,Ossora,RU,59.2353,163.0719,50.67,66,58,5.28,broken clouds
255,Chokurdakh,RU,70.6333,147.9167,55.67,65,100,7.58,overcast clouds
256,Iguape,BR,-24.7081,-47.5553,69.08,88,94,5.97,overcast clouds
257,Durango,MX,24.8333,-104.8333,65.35,47,100,3.8,overcast clouds
258,Dondo,MZ,-19.6094,34.7431,57.94,73,0,7.09,clear sky
259,Aklavik,CA,68.2191,-135.0107,45.43,82,100,6.71,light rain
260,Argentan,FR,48.75,-0.0167,51.57,98,100,5.53,overcast clouds
261,Darnah,LY,32.767,22.6367,66.85,68,0,8.93,clear sky
262,Erzin,TR,36.9559,36.2,66.92,78,0,1.54,clear sky
263,Margate,GB,51.3813,1.3862,58.91,83,18,1.99,few clouds
264,Presidente Epitacio,BR,-21.7633,-52.1156,69.82,64,0,7.4,clear sky
265,Teknaf,BD,20.8624,92.3058,85.37,74,90,2.1,overcast clouds
266,San Cristobal,VE,7.7669,-72.225,71.78,98,68,2.98,broken clouds
267,Puerto Carreno,CO,6.189,-67.4859,79.07,82,100,1.97,overcast clouds
268,Coahuayana,MX,18.7333,-103.6833,81.36,74,21,2.68,few clouds
269,San Vicente,AR,-26.6167,-54.1333,61.92,89,20,2.64,few clouds
270,Sorland,NO,67.667,12.6934,50.32,79,0,8.61,clear sky
271,Touros,BR,-5.1989,-35.4608,74.3,81,1,10.0,clear sky
272,Sovetskiy,RU,61.3614,63.5842,42.39,45,0,5.46,clear sky
273,Marawi,PH,7.9986,124.2928,82.65,60,89,1.72,overcast clouds
274,Custoias,PT,41.1053,-7.321,48.79,77,0,3.51,clear sky
275,Coquimbo,CL,-29.9533,-71.3436,56.93,94,90,5.57,overcast clouds
276,Taoudenni,ML,22.6783,-3.9836,92.48,25,100,24.45,overcast clouds
277,Sola,VU,-13.8833,167.55,79.52,76,83,16.4,broken clouds
278,Mecca,SA,21.4267,39.8261,83.68,59,1,4.43,clear sky
